product_type_name,prod_name,count
Dress,Dragonfly dress,98
T-shirt,Mike tee,72
T-shirt,Wow printed tee 6.99,70
Sweater,TP Paddington Sweater,54
T-shirt,Pria tee,51
Blouse,Despacito,48
Dress,MY,44
Garment Set,DANTE set,42
T-shirt,R-NECK SS SLIM FIT,42
T-shirt,HAPPY TEE TP,41
T-shirt,V-NECK SS SLIM FIT,41
Top,Charlie Top,41
T-shirt,CAMDEN s/s tee TP,41
Polo shirt,PETER POLO,39
T-shirt,Nora T-shirt,37
Leggings/Tights,James leggings,37
Swimwear bottom,TOM FANCY,36
Sweater,Yate,35
Hoodie,Richie Regular Hood,35
Trousers,Luna skinny RW,34
T-shirt,Brit Baby Tee,34
T-shirt,Roll Up Tee,33
Leggings/Tights,NIKE legging,32
Bikini top,Shake it in Balconette,31
Ballerinas,Hannah basic ballerina SG,31
T-shirt,RONNY R-NECK,30
T-shirt,CLAY TEE,30
Swimwear bottom,Timeless Midrise Brief,30
Sweater,Printed Sweatshirt 19.99,29
Hoodie,MOLLY FANCY,29
Trousers,SKINNY BASIC 89,29
Shirt,TP Princeton shirt,29
T-shirt,Tilly (1),29
T-shirt,SEQUINS TEE TP,29
T-shirt,Cat Tee.,28
Sweater,Bama,28
Leggings/Tights,SUPREME tights,28
Sweater,PETAR SWEATSHIRT,28
Hoodie,ROBIN HOOD,28
Trousers,Meadow trs,27
Skirt,CHARLIE SKIRT,27
Pyjama set,Valter l/l pj SB TP,27
Leggings/Tights,WENDY LEGGINGS,27
Sweater,Ripley r-neck,27
Sweater,Matey,27
Swimwear bottom,SB TRUNKS,27
T-shirt,FORTUNA TEE,27
Sweater,Zulu sweater,27
T-shirt,KNICKS TEE,27
Slippers,Billy softie,26
Hoodie,NOAH fancy hood TP,26
Hoodie,RICHIE HOOD,26
Sweater,Queen Sweater,26
T-shirt,HAPPY low price tee TP,26
T-shirt,MILES price s/s tee TP,26
Shorts,Ellen shorts,25
Shirt,Pat ls bd oxford solid,25
Jacket,SB Cliff vest TP,25
Leggings/Tights,GILDA LEGGINGS,25
T-shirt,SUGARPUFF MUSCLE TEE,25
Sweater,PAUL  R-NECK,25
Sweater,PERFECT HOOD,25
Trousers,DRAKE sweatpants TP,24
Sweater,ZORROW,24
Trousers,SKINNY SS 79,24
Bodysuit,2P LS body mixed TVP,24
Shorts,Glamping,24
Hoodie,Hood W Zip,24
Dress,Molly dress,24
Trousers,SKINNY BASIC 79,24
Pyjama jumpsuit/playsuit,3P LS PJ,24
T-shirt,MARTINI TEE,24
Leggings/Tights,MALAGA legging,24
T-shirt,FREJA,23
Leggings/Tights,Maxi,23
Vest top,Justin 2-p tank SB,23
Sweater,WALES,23
Shorts,BRAX shorts,23
Sweater,Noora,23
T-shirt,Agnes LS R-neck,23
Bodysuit,LS body single mixed,22
Dress,Sorrel,22
Sweater,Zebra- TVP- TM,22
Hoodie,Yate hood,22
